group3,beta_native,beta_crosswalked,gap,workers_m,n_soc_mapped,n_tasks
413,0.26704545454545453,0.8180501930501931,-0.5510047385047385,1.6465925337499998,2,88
143,0.0,0.5138187317257437,-0.5138187317257437,0.6817220374999999,3,8
111,0.019230769230769232,0.4710588478913891,-0.45182807866061986,0.34799272625,9,104
334,0.2753623188405797,0.7223140259825042,-0.44695170714192445,0.43666459625,6,69
314,0.013157894736842105,0.38435973748473745,-0.37120184274789536,0.05845733374999999,4,38
222,0.0,0.3546455144061175,-0.3546455144061175,0.60866265125,4,3
141,0.08823529411764706,0.43659420289855067,-0.3483589087809036,0.40375103125,2,17
112,0.14804469273743018,0.49427350427350425,-0.3462288115360741,9.27097726375,2,179
516,0.29411764705882354,0.2396545459432115,0.054463101115612034,0.6207285899999999,17,34
341,0.4777777777777778,0.40980432402846195,0.06797345374931585,0.18933584625,7,45
524,0.3282208588957055,0.25808301811231427,0.07013784078339125,3.13051187875,10,163
264,0.7842105263157895,0.7029418334616694,0.08126869285412008,0.25117279625,7,95
242,0.5846153846153846,0.5004417701978062,0.08417361441757842,0.4640569075,8,65
241,0.6318681318681318,0.5319284188034188,0.09993971306471305,2.1339810212500003,8,91
263,0.4925373134328358,0.38858080362848724,0.10395650980434856,1.3228228095833332,20,335
212,0.9130434782608695,0.6899380305602716,0.22310544770059793,0.013973105,5,46
