group3,nic_div,workers_m
111,2,0.00154593125
111,6,0.00135328625
111,21,0.000104135
111,27,0.0026202712500000003
111,36,0.001204845
111,52,0.0010742125000000001
111,61,0.0027405562499999998
111,69,0.0061525325
111,82,0.010127056249999999
111,84,0.3001814925
111,86,0.00102083625
111,88,0.0045767525000000005
111,94,0.015290818749999999
112,1,0.0383828975
112,2,0.01598925125
112,3,0.02779500125
112,5,0.00660730125
112,8,0.038198465
112,10,0.39247708374999996
112,11,0.025040826250000002
112,12,0.0116728875
112,13,0.117334645
112,14,0.21856829
112,15,0.06232040125
112,16,0.05891779
112,17,0.0620154125
112,18,0.05197474
112,19,0.0035426375
112,20,0.03740332375
112,21,0.009180629999999999
112,22,0.057293125
112,23,0.14041878875
112,24,0.0734001275
112,25,0.14361446249999998
112,26,0.031104737499999997
112,27,0.04107997
112,28,0.105303285
112,29,0.00838251
112,30,0.008470173749999999
112,31,0.08244293625
112,32,0.13502636624999997
112,33,0.056685929999999995
112,35,0.02153880625
112,36,0.01655870625
112,37,0.01114651125
112,38,0.033817366249999994
112,41,0.6176345324999999
112,42,0.1852968125
112,43,0.19790505875
112,45,0.22647009124999998
112,46,0.7860826750000001
112,47,2.1137269525
112,49,0.34198369
112,50,0.00611606125
112,52,0.03509949749999999
112,53,0.01235169625
112,55,0.06472417124999999
112,56,0.77271749
112,58,0.00033377375
112,59,0.00778145875
112,60,0.00223538875
112,61,0.0207280075
112,62,0.04091803125
112,63,0.059190349999999996
112,64,0.11279621499999999
112,65,0.0019601075
112,66,0.03156868625
112,68,0.24530771124999998
112,69,0.028626456249999998
112,70,0.0131297725
112,71,0.02045283125
112,72,0.0014338737499999998
112,73,0.00936513375
112,74,0.05285804125
112,77,0.34455168375
112,78,0.0543039625
112,79,0.07659957875
112,80,0.00633596625
112,81,0.0039070775
112,82,0.071431045
112,84,0.07234574
112,85,0.1911508075
112,86,0.04803076375
112,87,0.0053401112500000006
112,88,0.0009992199999999999
112,90,0.0454048725
112,92,0.013437706249999999
112,93,0.019385364999999998
112,94,0.00373352875
112,95,0.04624927875
112,96,0.1152706025
121,1,0.0089018825
121,2,0.0010561325
121,5,0.00429858
121,7,0.0027814349999999996
121,8,0.0038180625
121,10,0.07633668375
121,11,0.0019376174999999997
121,13,0.007440432499999999
121,14,0.04834455125
121,15,0.0098763725
121,16,0.0208011425
121,17,0.01180586125
121,18,0.0020439862499999997
121,19,0.00400469375
121,20,0.020429125
121,21,0.06563240875
121,22,0.0024208787499999996
121,23,0.046911749999999995
121,24,0.019681355
121,25,0.01948286875
121,26,0.00241559125
121,27,0.013298011249999998
121,28,0.01467589625
121,29,0.005705177499999999
121,30,0.016567072500000002
121,31,0.0015759575
121,32,0.047304003750000004
121,33,0.01138288625
121,35,0.006812565
121,38,0.00918586875
121,41,0.09100731875
121,42,0.0242386725
121,43,0.0272288775
121,45,0.053632215000000004
121,46,0.224194435
121,47,0.26719105375
121,49,0.06450116374999999
121,52,0.028589999999999997
121,53,0.00540328375
121,55,0.016473425
121,56,0.07666393875
121,58,0.00335825375
121,59,0.015989857500000003
121,61,0.0037193162499999997
121,62,0.03894373125
121,63,0.01600404875
121,64,0.3036067925
121,65,0.0167213875
121,66,0.01510058875
121,68,0.0392980725
121,69,0.0057537775
121,70,0.0128962
121,71,0.00406355625
121,72,0.00328957
121,73,0.001730365
121,74,0.016373956250000002
121,77,0.08892765374999999
121,78,0.0067894424999999994
121,79,0.011665645
121,82,0.0185979125
121,84,0.01371257
121,85,0.042234305
121,86,0.025438364999999998
121,87,0.0020817400000000003
121,88,0.0032603374999999996
121,90,0.006578661249999999
121,93,0.006386395
121,95,0.007214397500000001
121,96,0.01730628875
122,1,0.006241899999999999
122,10,0.04787302875
122,12,0.01179981125
122,13,0.0045078675
122,14,0.006529014999999999
122,15,0.00013436125
122,16,0.018732218749999998
122,18,0.016598333749999996
122,19,0.00307682125
122,20,0.006193622499999999
122,21,0.03506650125
122,22,0.01757129625
122,23,0.0179636925
122,24,0.010898621249999999
122,25,0.006674132499999999
122,26,0.00008559624999999999
122,27,0.03260911
122,28,0.03004217625
122,29,0.0057735725
122,30,0.0029265025
122,31,0.009054933749999999
122,32,0.0055857037500000005
122,33,0.00022888
122,35,0.00578509125
122,36,0.00052692875
122,43,0.010755602500000001
122,45,0.14108869125
122,46,0.204861385
122,47,0.1925255625
122,49,0.004604245
122,52,0.0129373575
122,53,0.00218574
122,55,0.0039077949999999995
122,56,0.01009042
122,58,0.00904062875
122,61,0.01305094625
122,62,0.1120050275
122,63,0.0008592399999999999
122,64,0.13634970875
122,65,0.01995743875
122,66,0.0238536225
122,68,0.015727365
122,70,0.00121845
122,72,0.004514094999999999
122,73,0.01292616125
122,74,0.00314905
122,77,0.0011977875
122,78,0.00331223375
122,82,0.0072322887499999995
122,84,0.004328807499999999
122,85,0.00111477
122,86,0.007796535
122,93,0.003931784999999999
122,95,0.00105295125
131,1,0.03453623375
131,2,0.000469705
131,3,0.057825922499999995
131,10,0.006477632499999999
131,16,0.0008369524999999999
131,46,0.00012643
131,84,0.0012690487499999999
132,2,0.0015457912500000002
132,5,0.01787318875
132,6,0.00084837
132,7,0.00663634875
132,8,0.0071996225
132,10,0.04016258
132,11,0.01648682625
132,12,0.00222732875
132,13,0.04398987
132,14,0.0151051075
132,15,0.010085425
132,17,0.0041207612499999996
132,18,0.00469648125
132,19,0.00881511875
132,20,0.0630718075
132,21,0.03030878125
132,22,0.0535762075
132,23,0.02118296875
132,24,0.03207857625
132,25,0.01275932375
132,26,0.009743103749999999
132,27,0.013141241249999998
132,28,0.02846074625
132,29,0.053710776249999995
132,30,0.016581534999999998
132,31,0.00308192375
132,32,0.04429599125
132,35,0.0069729662500000004
132,36,0.01908093
132,41,0.15398120624999997
132,42,0.07390013749999999
132,43,0.0018342175
132,46,0.02200299875
132,47,0.0059142625
132,49,0.06031438
132,51,0.0002209375
132,52,0.025757851249999998
132,53,0.00015183375
132,58,0.0008308225
132,61,0.00354003
132,68,0.00623637
132,73,0.0020329249999999997
132,74,0.0113602375
132,77,0.00517016875
132,78,0.008100053749999999
132,79,0.00230194
132,81,0.00103108
132,84,0.009182524999999999
132,85,0.0059960874999999995
133,10,0.00028605
133,26,0.004445514999999999
133,32,0.0020393475
133,35,0.0043247325
133,43,0.000036347500000000004
133,52,0.004940005
133,53,0.016776001250000002
133,58,0.0005901249999999999
133,60,0.0043247325
133,61,0.0034207837499999998
133,62,0.20968975125
