filename,source_url,sha256,size_bytes,http_status,retrieved_at
epfo_July-2023.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/July-2023.pdf,1c4213c6ecedceee912ef52722cd15cb82c8653e5a12634a67dca19c028b1e3b,923329,200,2026-07-17T11:05:19Z
epfo_July-2025.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/July-2025.pdf,59497c748c92948d5b45744fa03f557e162fb2cfb0132d31462dae4b52d65725,1718450,200,2026-07-17T11:05:22Z
epfo_June-2021.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/June-2021.pdf,4b86f3378f97345c9eed1eca3ef8d419583eb82bb25beb5496c6c967c984e02e,838422,200,2026-07-17T11:05:26Z
epfo_June-2022.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/June-2022.pdf,368aab25da685075ef13d41a43c2e25401374c49599b046769d900b784ec5ca6,924733,200,2026-07-17T11:05:29Z
epfo_June-2023.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/June-2023.pdf,c8ce9ba94b8acb5706455face31e24797eea230178110c42b94f3ffcc6b5c8eb,917929,200,2026-07-17T11:05:32Z
epfo_June-2024.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/June-2024.pdf,c1a99505487577420d1a455fce58215a89ca2ea4a9a55ee87bb48fdcf137d6ae,1463070,200,2026-07-17T11:05:36Z
epfo_June-2025.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/June-2025.pdf,8205605606b72fd14cd027c0fac2abd3e97cad8b4889f05dd0141e8bb532268a,1592791,200,2026-07-17T11:05:42Z
epfo_March-2021-1.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/March-2021-1.pdf,f5c80d36db0209c5c8d6645d0c2449966ea307e130c502169d063392a3433827,870071,200,2026-07-17T11:05:46Z
epfo_March-2022.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/March-2022.pdf,ba000ac64241e22fc0cf048f0ad4cb44f4e60d5d180df3ced62f39198082cf33,987624,200,2026-07-17T11:05:54Z
epfo_March-2023.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/March-2023.pdf,4991cfa5bd91b322eee6990ba102d30d273185ced3640c065cc044389ba81f3a,967976,200,2026-07-17T11:06:01Z
epfo_March-2024.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/March-2024.pdf,63cda950c27c033687f87aafb25162520371e42ef5957be1ae5fd3e90e336918,867219,200,2026-07-17T11:06:09Z
epfo_March-2025.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/March-2025.pdf,68c497c5b03e6a1764c08450d71e301fe0eeed9910d99a5683ded44a9e33e431,1074261,200,2026-07-17T11:06:19Z
epfo_May-2021-1.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/May-2021-1.pdf,a3821406717ec4343af42a48d62a2d350032cb98f31963614d622fad9b5af83a,403665,200,2026-07-17T11:06:24Z
epfo_May-2022.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/May-2022.pdf,7f8407e28904b38452eea9d72dc028ab55d6572d963c8dcfe6c10ee5cd0e363f,1001696,200,2026-07-17T11:06:28Z
epfo_May-2023.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/May-2023.pdf,51d3887f4c3798d75dc95c2154b20845e091f11b83ce9f4e7f4060b22120ed1d,985734,200,2026-07-17T11:06:35Z
epfo_May-2024.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/May-2024.pdf,b19e7cc4136107b6ca36a3b8db2bfc76da18f1271417ba1f3c2dbf689577e923,875908,200,2026-07-17T11:06:39Z
epfo_May-2025.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/May-2025.pdf,7102b9e131a435046cc2463dcd28c263da85276ee05ebbbeca823216596f946f,2868836,200,2026-07-17T11:06:44Z
epfo_November-2021.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/November-2021.pdf,8fd601aaa0bb3451dd2cae73a26e4b35a01411e55dba472df1874d678d47dc2f,758525,200,2026-07-17T11:06:51Z
epfo_November-2022.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/November-2022.pdf,07d58fd5976cb0b5431670f11b6407631c93cc7bf8788ba04aab0417c8f60f7d,944648,200,2026-07-17T11:06:55Z
epfo_November-2023.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/November-2023.pdf,43cf30d007cc2fbbb51b41c7e136184d3188e1a9e6a00c1d7e27c7ae0c1d1da9,950112,200,2026-07-17T11:07:00Z
epfo_November-2024.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/November-2024.pdf,2da199db3cffbdbbe6d9cb678e98f810162cab59344656e1e15a1e76c3566e6d,893650,200,2026-07-17T11:07:04Z
epfo_October-2021.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/October-2021.pdf,0524208a5c037581ef9b39a9fb78604eb2d59e3c5571eb98c2b08cec68688e73,333153,200,2026-07-17T11:07:08Z
epfo_October-2022.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/October-2022.pdf,ccdde1be33d32de90ba2f2808d10e24b92a9a1ad36b4b01b2e346337b9bdfee8,937005,200,2026-07-17T11:07:15Z
epfo_October-2023.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/October-2023.pdf,c915218fbf0b9d7aa87ac444ad2fc155035e5f2413865d7e9ab72d0d31ae424e,944476,200,2026-07-17T11:07:19Z
epfo_October-2024.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/October-2024.pdf,fea113b609a3af74d15d5397e1d273569e7d417191ca5aac57a3eb10b75ab7fb,848468,200,2026-07-17T11:07:23Z
epfo_September-2021.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/September-2021.pdf,a92f20ea8294e8ac5335d2495e0a49a62918a91631c45051d63eaef8db7f1e69,854241,200,2026-07-17T11:07:31Z
epfo_September-2022.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/September-2022.pdf,5f230cb98a7d3883414255f51092d035be073b1c51576bf17ef4e80355d926d3,932208,200,2026-07-17T11:07:40Z
epfo_September-2023.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/September-2023.pdf,ef86ef225b06126d75b3f253d2603a09cc054b9895ee85409231e5182fbfca81,937394,200,2026-07-17T11:07:45Z
epfo_September-2024.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/September-2024.pdf,194e0f90e6aa2fc3635870aa49a5aff6014ac60033f4bbeccdcad32325b9e3e1,802903,200,2026-07-17T11:07:50Z
epfo_September-2025.pdf,https://pmvbry-cdn.epfindia.gov.in/wp-content/uploads/2025/10/September-2025.pdf,7bbe94cc0bb92a78edc0ec809ec06a2553116ac21f4d1d37e8aebe1324713198,925086,200,2026-07-17T11:07:58Z
mospi_Payroll_Reporting_in_India_An_Employment_Perspective_-_November_2024.pdf,"https://www.mospi.gov.in/sites/default/files/press_release/Payroll%20Reporting%20in%20India%20An%20Employment%20Perspective%20%E2%80%93%20November,%202024.pdf",373e6b2d3f55effc183afdaa464701434902ad919863559dae705782581c1d91,353166,200,2026-07-17T11:18:32Z
mospi_Payroll_Reporting_in_India-An_Employment_Perspective_-_May_2024_230724.pdf,"https://www.mospi.gov.in/sites/default/files/press_release/Payroll%20Reporting%20in%20India-An%20Employment%20Perspective%20-%20May,%202024%20230724.pdf",54beaa89b1883242835f4d4b14c6d13e393e2d8994a622efb2c4d0dfc86a2067,238372,200,2026-07-17T11:18:36Z
mospi_Payroll_Reporting24112023.pdf,https://www.mospi.gov.in/sites/default/files/press_release/Payroll_Reporting24112023.pdf,31d89ecb1f0bc6bc25bf7b445d4144741dc5c95eb838921e903ef05189b4dd89,483984,200,2026-07-17T11:18:39Z
mospi_Payroll_Reporting_in_India_-_for_25_June'_2020.pdf,https://www.mospi.gov.in/sites/default/files/press_release/Payroll%20Reporting%20in%20India%20-%20for%2025%20June'%202020.pdf,bc3785cdbc44e42ee8d429a86f67c1eb264654ac3dd73167f59d0ed5c517a2c5,153002,200,2026-07-17T11:18:43Z
mospi_Payroll_Reporting_in_India-An_Employment_Perspective-December_2021_for_250220221645766178916_0.pdf,"https://www.mospi.gov.in/sites/default/files/press_release/Payroll%20Reporting%20in%20India-An%20Employment%20Perspective-December,%202021__for%20250220221645766178916_0.pdf",965fb5cc012a90bb2f8fe6a0eb670fdc5292be6690acaae841c5a8c4653d414a,366637,200,2026-07-17T11:18:48Z
mospi_PressRelease_payroll_reporting26062024.pdf,https://www.mospi.gov.in/sites/default/files/press_release/PressRelease_payroll_reporting26062024.pdf,3c1f0771fd28257b84829d502b5d1941bc195f67386cad4948ec932754783810,115367,200,2026-07-17T11:18:50Z
mospi_Payroll_reporting_analysis_24nov2018.pdf,https://www.mospi.gov.in/sites/default/files/press_release/Payroll_reporting_analysis_24nov2018.pdf,70aa9fd9295ffa3448faeacfa3b62c30f63cad58e5b7cbca29e0ba6332c78d54,144038,200,2026-07-17T11:18:54Z
mospi_latest_release_1770791489423_51343a0b-a1a2-4aac-834f-66b179a92642_Links_for_Payroll_Data_for_the_month_of_January_2026.pdf,https://www.mospi.gov.in/uploads/latestReleases/latest_release_1770791489423_51343a0b-a1a2-4aac-834f-66b179a92642_Links_for_Payroll_Data_for_the_month_of_January_2026.pdf,57e12e2b8f37b142932f9c28d5499c714731d725e7912a5ccf2e407c70729e3d,73030,200,2026-07-17T11:18:57Z
